Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-12-01,Albury,13.4,22.9,0.6,NA,NA,W,44,W,WNW,20,24,71,22,1007.7,1007.1,8,NA,16.9,21.8,No,No
2008-12-02,Albury,7.4,25.1,0,NA,NA,WNW,44,NNW,WSW,4,22,44,25,1010.6,1007.8,NA,NA,17.2,24.3,No,No
2008-12-03,Albury,12.9,25.7,0,NA,NA,WSW,46,W,WSW,19,26,38,30,1007.6,1008.7,NA,2,21,23.2,No,No
2008-12-04,Albury,9.2,28,0,NA,NA,NE,24,SE,E,11,9,45,16,1017.6,1012.8,NA,NA,18.1,26.5,No,No
2008-12-05,Albury,17.5,32.3,1,NA,NA,W,41,ENE,NW,7,20,82,33,1010.8,1006,7,8,17.8,29.7,No,No
2008-12-06,Albury,14.6,29.7,0.2,NA,NA,WNW,56,W,W,19,24,55,23,1009.2,1005.4,NA,NA,20.6,28.9,No,No
2008-12-07,Albury,14.3,25,0,NA,NA,W,50,SW,W,20,24,49,19,1009.6,1008.2,1,NA,18.1,24.6,No,No
2008-12-08,Albury,7.7,26.7,0,NA,NA,W,35,SSE,W,6,17,48,19,1013.4,1010.1,NA,NA,16.3,25.5,No,No
2008-12-09,Albury,9.7,31.9,0,NA,NA,NNW,80,SE,NW,7,28,42,9,1008.9,1003.6,NA,NA,18.3,30.2,No,Yes
2008-12-10,Albury,13.1,30.1,1.4,NA,NA,W,28,S,SSE,15,11,58,27,1007,1005.7,NA,NA,20.1,28.2,Yes,No
2008-12-11,Albury,13.4,30.4,0,NA,NA,N,30,SSE,ESE,17,6,48,22,1011.8,1008.7,NA,NA,20.4,28.8,No,Yes
2008-12-12,Albury,15.9,21.7,2.2,NA,NA,NNE,31,NE,ENE,15,13,89,91,1010.5,1004.2,8,8,15.9,17,Yes,Yes
2008-12-13,Albury,15.9,18.6,15.6,NA,NA,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes,Yes
2008-12-14,Albury,12.6,21,3.6,NA,NA,SW,44,W,SSW,24,20,65,43,1001.2,1001.8,NA,7,15.8,19.8,Yes,No
2008-12-15,Albury,8.4,24.6,0,NA,NA,NA,NA,S,WNW,4,30,57,32,1009.7,1008.7,NA,NA,15.9,23.5,No,NA
2008-12-16,Albury,9.8,27.7,NA,NA,NA,WNW,50,NA,WNW,NA,22,50,28,1013.4,1010.3,0,NA,17.3,26.2,NA,No
2008-12-17,Albury,14.1,20.9,0,NA,NA,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,Yes
2008-12-18,Albury,13.5,22.9,16.8,NA,NA,W,63,N,WNW,6,20,80,65,1005.8,1002.2,8,1,18,21.5,Yes,Yes
2008-12-19,Albury,11.2,22.5,10.6,NA,NA,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,NA,2,15.5,21,Yes,No
2008-12-20,Albury,9.8,25.6,0,NA,NA,SSE,26,SE,NNW,17,6,45,26,1019.2,1017.1,NA,NA,15.8,23.2,No,No
2008-12-21,Albury,11.5,29.3,0,NA,NA,S,24,SE,SE,9,9,56,28,1019.3,1014.8,NA,NA,19.1,27.3,No,No
2008-12-22,Albury,17.1,33,0,NA,NA,NE,43,NE,N,17,22,38,28,1013.6,1008.1,NA,1,24.5,31.6,No,No
2008-12-23,Albury,20.5,31.8,0,NA,NA,WNW,41,W,W,19,20,54,24,1007.8,1005.7,NA,NA,23.8,30.8,No,No
2008-12-24,Albury,15.3,30.9,0,NA,NA,N,33,ESE,NW,6,13,55,23,1011,1008.2,5,NA,20.9,29,No,No
2008-12-25,Albury,12.6,32.4,0,NA,NA,W,43,E,W,4,19,49,17,1012.9,1010.1,NA,NA,21.5,31.2,No,No
2008-12-26,Albury,16.2,33.9,0,NA,NA,WSW,35,SE,WSW,9,13,45,19,1010.9,1007.6,NA,1,23.2,33,No,No
2008-12-27,Albury,16.9,33,0,NA,NA,WSW,57,NA,W,0,26,41,28,1006.8,1003.6,NA,1,26.6,31.2,No,No
2008-12-28,Albury,20.1,32.7,0,NA,NA,WNW,48,N,WNW,13,30,56,15,1005.2,1001.7,NA,NA,24.6,32.1,No,No
2008-12-29,Albury,19.7,27.2,0,NA,NA,WNW,46,NW,WSW,19,30,49,22,1004.8,1004.2,NA,NA,21.6,26.1,No,Yes
2008-12-30,Albury,12.5,24.2,1.2,NA,NA,WNW,50,WSW,SW,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,Yes,No
2008-12-31,Albury,12,24.4,0.8,NA,NA,W,39,WNW,WNW,17,17,48,28,1006.1,1005.1,1,NA,16.9,22.7,No,No
2009-01-01,Albury,11.3,26.5,0,NA,NA,WNW,56,W,WNW,19,31,46,26,1004.5,1003.2,NA,NA,19.7,25.7,No,No
2009-01-02,Albury,9.6,23.9,0,NA,NA,W,41,WSW,SSW,19,11,44,22,1014.4,1013.1,NA,NA,14.9,22.1,No,No
2009-01-03,Albury,10.5,28.8,0,NA,NA,SSE,26,SSE,E,11,7,43,22,1018.7,1014.8,NA,NA,17.1,26.5,No,No
2009-01-04,Albury,12.3,34.6,0,NA,NA,WNW,37,SSE,NW,6,17,41,12,1015.1,1010.3,NA,NA,20.7,33.9,No,No
2009-01-05,Albury,12.9,35.8,0,NA,NA,WNW,41,ENE,NW,6,26,41,9,1012.6,1009.2,NA,NA,22.4,34.4,No,No
2009-01-06,Albury,13.7,37.9,0,NA,NA,W,52,SE,WNW,4,26,33,8,1010.9,1006.7,NA,NA,23.1,36.8,No,No
2009-01-07,Albury,16.1,38.9,0,NA,NA,W,57,E,W,6,30,34,12,1007,1002.7,NA,NA,25.2,38.4,No,No
2009-01-08,Albury,14,28.3,0,NA,NA,W,48,W,WSW,17,24,43,15,1011.9,1010.9,NA,NA,17.9,27.6,No,No
2009-01-09,Albury,12.5,28.4,0,NA,NA,NE,37,SSE,S,20,9,38,16,1017.8,1013.7,NA,NA,17.2,26.6,No,No
2009-01-10,Albury,17,30.8,0,NA,NA,NE,37,NNE,E,15,11,36,24,1013.4,1008.1,NA,NA,20.2,29.3,No,No
2009-01-11,Albury,16.9,32,0,NA,NA,S,31,SSE,N,13,17,52,31,1009.9,1006.8,NA,NA,22.8,30,No,No
2009-01-12,Albury,17.3,34.7,0,NA,NA,SW,35,SE,WSW,7,15,48,16,1014.1,1012.1,NA,NA,24.2,33.2,No,No
2009-01-13,Albury,17.2,37.7,0,NA,NA,NNW,35,SE,NW,7,17,51,19,1015.7,1010.9,NA,NA,24.3,35.7,No,No
2009-01-14,Albury,17.4,43,0,NA,NA,NW,39,SSE,SSW,7,17,40,8,1011.6,1006.9,NA,NA,25.6,41.5,No,No
2009-01-15,Albury,19.8,32.7,0,NA,NA,WNW,44,W,W,20,28,34,28,1008.4,1009.2,NA,NA,27.6,27.1,No,No
